cohort_month,period,cohort_size,active_customers,retention_rate
2023-01,0,53,53,1.0
2023-01,1,53,43,0.8113
2023-01,2,53,33,0.6226
2023-01,3,53,28,0.5283
2023-01,4,53,26,0.4906
2023-01,5,53,23,0.434
2023-01,6,53,17,0.3208
2023-01,7,53,15,0.283
2023-01,8,53,13,0.2453
2023-01,9,53,12,0.2264
2023-01,10,53,10,0.1887
2023-01,11,53,8,0.1509
2023-01,12,53,7,0.1321
2023-01,13,53,7,0.1321
2023-01,14,53,6,0.1132
2023-01,15,53,6,0.1132
2023-01,16,53,5,0.0943
2023-01,17,53,5,0.0943
2023-02,0,32,32,1.0
2023-02,1,32,24,0.75
2023-02,2,32,19,0.5938
2023-02,3,32,17,0.5313
2023-02,4,32,12,0.375
2023-02,5,32,11,0.3438
2023-02,6,32,11,0.3438
2023-02,7,32,11,0.3438
2023-02,8,32,10,0.3125
2023-02,9,32,6,0.1875
2023-02,10,32,6,0.1875
2023-02,11,32,5,0.1563
2023-02,12,32,4,0.125
2023-02,13,32,3,0.0938
2023-02,14,32,2,0.0625
2023-02,15,32,2,0.0625
2023-02,16,32,2,0.0625
2023-03,0,47,47,1.0
2023-03,1,47,45,0.9574
2023-03,2,47,43,0.9149
2023-03,3,47,38,0.8085
2023-03,4,47,31,0.6596
2023-03,5,47,28,0.5957
2023-03,6,47,22,0.4681
2023-03,7,47,15,0.3191
2023-03,8,47,13,0.2766
2023-03,9,47,10,0.2128
2023-03,10,47,9,0.1915
2023-03,11,47,6,0.1277
2023-03,12,47,5,0.1064
2023-03,13,47,5,0.1064
2023-03,14,47,5,0.1064
2023-03,15,47,5,0.1064
2023-04,0,36,36,1.0
2023-04,1,36,30,0.8333
2023-04,2,36,27,0.75
2023-04,3,36,22,0.6111
2023-04,4,36,16,0.4444
2023-04,5,36,13,0.3611
2023-04,6,36,13,0.3611
2023-04,7,36,12,0.3333
2023-04,8,36,10,0.2778
2023-04,9,36,8,0.2222
2023-04,10,36,8,0.2222
2023-04,11,36,6,0.1667
2023-04,12,36,6,0.1667
2023-04,13,36,4,0.1111
2023-04,14,36,4,0.1111
2023-05,0,48,48,1.0
2023-05,1,48,41,0.8542
2023-05,2,48,37,0.7708
2023-05,3,48,28,0.5833
2023-05,4,48,26,0.5417
2023-05,5,48,20,0.4167
2023-05,6,48,17,0.3542
2023-05,7,48,14,0.2917
2023-05,8,48,12,0.25
2023-05,9,48,9,0.1875
2023-05,10,48,9,0.1875
2023-05,11,48,8,0.1667
2023-05,12,48,7,0.1458
2023-05,13,48,5,0.1042
2023-06,0,38,38,1.0
2023-06,1,38,33,0.8684
2023-06,2,38,28,0.7368
2023-06,3,38,27,0.7105
2023-06,4,38,22,0.5789
2023-06,5,38,18,0.4737
2023-06,6,38,16,0.4211
2023-06,7,38,15,0.3947
2023-06,8,38,12,0.3158
2023-06,9,38,9,0.2368
2023-06,10,38,7,0.1842
2023-06,11,38,5,0.1316
2023-06,12,38,4,0.1053
2023-07,0,40,40,1.0
2023-07,1,40,37,0.925
2023-07,2,40,35,0.875
2023-07,3,40,32,0.8
2023-07,4,40,29,0.725
2023-07,5,40,24,0.6
2023-07,6,40,20,0.5
2023-07,7,40,17,0.425
2023-07,8,40,13,0.325
2023-07,9,40,10,0.25
2023-07,10,40,9,0.225
2023-07,11,40,8,0.2
2023-08,0,47,47,1.0
2023-08,1,47,44,0.9362
2023-08,2,47,39,0.8298
2023-08,3,47,31,0.6596
2023-08,4,47,25,0.5319
2023-08,5,47,23,0.4894
2023-08,6,47,20,0.4255
2023-08,7,47,15,0.3191
2023-08,8,47,13,0.2766
2023-08,9,47,11,0.234
2023-08,10,47,10,0.2128
2023-09,0,36,36,1.0
2023-09,1,36,31,0.8611
2023-09,2,36,26,0.7222
2023-09,3,36,22,0.6111
2023-09,4,36,18,0.5
2023-09,5,36,16,0.4444
2023-09,6,36,13,0.3611
2023-09,7,36,10,0.2778
2023-09,8,36,9,0.25
2023-09,9,36,8,0.2222
2023-10,0,42,42,1.0
2023-10,1,42,34,0.8095
2023-10,2,42,31,0.7381
2023-10,3,42,27,0.6429
2023-10,4,42,22,0.5238
2023-10,5,42,18,0.4286
2023-10,6,42,14,0.3333
2023-10,7,42,13,0.3095
2023-10,8,42,10,0.2381
2023-11,0,37,37,1.0
2023-11,1,37,34,0.9189
2023-11,2,37,29,0.7838
2023-11,3,37,26,0.7027
2023-11,4,37,21,0.5676
2023-11,5,37,21,0.5676
2023-11,6,37,19,0.5135
2023-11,7,37,19,0.5135
2023-12,0,44,44,1.0
2023-12,1,44,40,0.9091
2023-12,2,44,28,0.6364
2023-12,3,44,24,0.5455
2023-12,4,44,22,0.5
2023-12,5,44,19,0.4318
2023-12,6,44,17,0.3864
